2014-01-26 21:08:12 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-26 21:09:47 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-26 21:11:57 Notice: Notice (8): Undefined index: month in [/Applications/MAMP/htdocs/club86/app/controllers/sushi_controller.php, line 11]
2014-01-26 21:12:12 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-26 21:20:41 Notice: Notice (8): Undefined index: category in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 38]
2014-01-26 21:20:41 Notice: Notice (8): Undefined property: blockController::$Masami in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 39]
2014-01-26 21:56:16 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:00:01 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:00:50 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:03:50 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:12:48 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:13:16 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/club86/cake/libs/model/datasources/dbo_source.php, line 749]
2014-01-26 22:41:46 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:42:45 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:43:43 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:44:47 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:45:37 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:49:36 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:52:03 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:56:58 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:57:00 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:59:10 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:59:13 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 44]
2014-01-26 22:59:34 Notice: Notice (8): Undefined offset: 5 in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 44]
2014-01-26 23:20:31 Notice: Notice (8): Undefined offset: 5 in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 44]
2014-01-26 23:20:37 Notice: Notice (8): Undefined offset: 5 in [/Applications/MAMP/htdocs/club86/app/views/block/top.ctp, line 44]
2014-01-28 23:19:51 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:19:59 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:20:43 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:22:57 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:23:02 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:23:11 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:27:14 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:27:14 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:27:14 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:27:15 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:27:15 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:27:15 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/club86/app/controllers/block_controller.php, line 18]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:29:05 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:31:08 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:31:08 Notice: Notice (8): Undefined index:  in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:31:08 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:31:08 Notice: Notice (8): Undefined index:  in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:31:08 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:31:08 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 19]
2014-01-28 23:32:10 Notice: Notice (8): Undefined variable: i in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-01-28 23:32:10 Notice: Notice (8): Undefined index:  in [/Applications/MAMP/htdocs/club86/app/views/block/detail.ctp, line 18]
2014-02-15 20:08:26 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/minamikata_controller.php, line 42]
2014-02-15 20:12:04 Notice: Notice (8): Undefined variable: cid in [/Applications/MAMP/htdocs/club86/app/controllers/minamikata_controller.php, line 42]
